PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category
39.6,159.76,268.07,77.81,11.83,80.38,120,Unhealthy for Sensitive Groups
45.06,178.41,141.47,156.12,11.23,81.22,134,Unhealthy for Sensitive Groups
409.28,493.4,1983.87,996.39,39.63,467.99,485,Hazardous
237.94,392.45,680.25,482.69,17.93,191.72,282,Very Unhealthy
22.62,133.15,58.65,64.59,8.8,64.98,76,Moderate
209.52,378.06,832.57,597.51,24.38,156.24,207,Very Unhealthy
80.06,306.38,510.38,235.09,14.99,95.53,157,Unhealthy
110.22,296.74,537.88,283.93,14.95,92.52,172,Unhealthy
174.3,374.17,902.74,353.02,20.39,184.89,225,Very Unhealthy
35.24,157.45,170.36,84.41,11.03,84.09,122,Unhealthy for Sensitive Groups
50.97,160.42,267.06,163.21,11.67,76.45,102,Unhealthy for Sensitive Groups
9.93,50.09,10.5,4.34,2.74,2.17,14,Good
107.09,278.89,539.09,203.01,13.26,91.18,182,Unhealthy
46.65,186.91,303.04,85.37,11.09,77.82,133,Unhealthy for Sensitive Groups
51.82,211.38,119.93,89.86,11.91,80.27,115,Unhealthy for Sensitive Groups
47.6,236.64,159.83,85.99,10.14,76.82,122,Unhealthy for Sensitive Groups
17.26,76.77,62.58,73.85,6.94,63.9,60,Moderate
2.0,13.47,16.8,15.86,2.06,45.54,16,Good
5.65,44.53,7.69,31.03,3.22,32.94,10,Good
102.28,261.32,515.19,270.7,12.82,102.27,196,Unhealthy
21.31,109.22,82.65,64.32,6.91,59.58,59,Moderate
12.93,147.88,92.58,72.07,5.25,66.43,67,Moderate
29.73,70.19,80.37,72.82,7.89,68.09,70,Moderate
20.0,148.38,92.94,47.96,9.23,64.37,91,Moderate
42.89,220.09,260.51,86.16,12.21,73.22,141,Unhealthy for Sensitive Groups
26.59,153.48,69.26,64.37,5.68,57.01,91,Moderate
7.73,10.79,4.79,33.94,4.37,25.53,47,Good
6.23,42.14,5.56,15.91,3.26,4.64,14,Good
28.6,59.05,77.84,45.35,8.02,63.87,68,Moderate
227.4,376.73,1248.22,357.47,16.26,119.43,238,Very Unhealthy
83.97,332.91,413.62,199.06,13.3,93.76,180,Unhealthy
30.09,130.05,79.49,49.39,5.36,56.2,71,Moderate
52.75,166.82,284.8,169.07,10.32,80.53,129,Unhealthy for Sensitive Groups
366.44,600.22,1293.75,781.86,35.02,304.4,448,Hazardous
122.92,284.58,513.39,217.5,14.43,93.1,159,Unhealthy
50.66,195.83,266.27,148.91,10.81,81.04,106,Unhealthy for Sensitive Groups
47.76,163.95,227.79,176.46,10.61,84.06,143,Unhealthy for Sensitive Groups
58.42,284.97,583.4,241.12,13.84,100.01,162,Unhealthy
5.22,50.55,48.21,21.67,2.05,25.09,13,Good
63.58,280.79,507.92,277.25,14.38,89.68,185,Unhealthy
73.71,292.52,609.26,212.18,13.49,97.64,154,Unhealthy
48.84,178.13,120.94,150.38,11.8,83.99,126,Unhealthy for Sensitive Groups
185.32,416.6,806.37,465.22,24.02,197.05,288,Very Unhealthy
29.98,127.65,53.99,43.55,5.94,68.85,55,Moderate
0.45,4.74,33.79,4.84,0.55,9.07,20,Good
21.61,85.38,75.38,35.71,8.25,56.33,65,Moderate
102.22,308.01,379.41,285.2,13.91,104.94,187,Unhealthy
173.49,423.38,904.25,509.59,16.11,113.52,228,Very Unhealthy
68.62,302.35,578.75,245.77,14.13,88.82,167,Unhealthy
23.69,147.85,90.53,56.23,4.58,55.76,59,Moderate
44.86,223.35,298.14,161.97,10.93,79.61,123,Unhealthy for Sensitive Groups
0.7,36.76,14.74,20.83,3.16,46.12,5,Good
6.95,19.85,14.87,31.59,4.33,50.38,38,Good
48.59,251.92,140.12,151.12,12.25,76.81,128,Unhealthy for Sensitive Groups
276.2,550.58,1555.12,903.99,47.32,430.84,452,Hazardous
13.39,132.69,63.71,49.45,9.26,69.39,87,Moderate
9.35,46.31,27.57,9.91,4.22,7.47,2,Good
2.12,19.79,17.71,27.57,4.32,52.96,5,Good
52.22,213.67,123.81,76.43,11.76,73.24,147,Unhealthy for Sensitive Groups
49.82,212.98,150.18,168.16,10.7,82.19,134,Unhealthy for Sensitive Groups
46.31,197.17,139.43,108.96,12.11,76.84,147,Unhealthy for Sensitive Groups
42.02,170.58,295.22,85.49,9.7,74.16,102,Unhealthy for Sensitive Groups
5.35,49.94,34.58,8.23,1.07,15.62,47,Good
327.89,514.16,1402.52,618.68,45.8,414.84,382,Hazardous
6.01,5.49,29.99,18.93,3.01,24.65,18,Good
17.03,94.34,53.03,72.7,5.08,63.81,73,Moderate
413.9,463.62,1395.54,939.27,33.42,459.86,365,Hazardous
322.35,432.42,1289.28,773.9,34.83,216.64,345,Hazardous
489.95,484.58,1315.63,868.23,32.13,429.19,350,Hazardous
118.51,338.97,577.06,267.29,13.59,102.53,153,Unhealthy
54.77,208.9,281.98,78.12,9.66,73.15,116,Unhealthy for Sensitive Groups
100.08,324.37,463.08,249.48,13.95,103.41,187,Unhealthy
3.62,45.55,41.73,31.82,3.32,31.64,21,Good
11.12,31.38,34.46,22.89,0.07,32.38,2,Good
31.69,72.85,83.83,36.56,8.04,63.28,97,Moderate
41.68,242.19,111.17,101.69,9.89,79.11,129,Unhealthy for Sensitive Groups
3.75,28.66,10.23,8.21,1.8,35.8,10,Good
8.4,12.56,38.93,1.71,2.29,35.4,0,Good
22.26,95.0,76.19,58.74,7.67,66.36,81,Moderate
9.7,36.25,3.08,1.09,0.72,29.1,32,Good
35.64,174.4,201.47,129.67,11.67,71.66,112,Unhealthy for Sensitive Groups
216.29,360.16,1017.02,476.34,16.41,141.95,289,Very Unhealthy
42.07,175.01,124.47,87.12,12.05,81.9,107,Unhealthy for Sensitive Groups
209.68,413.61,879.95,526.77,15.4,122.9,237,Very Unhealthy
10.9,42.07,39.05,8.45,2.06,0.41,35,Good
46.21,200.52,169.4,149.49,9.66,83.39,112,Unhealthy for Sensitive Groups
10.7,20.7,45.06,27.05,2.34,11.84,49,Good
40.82,174.94,294.87,87.63,12.04,71.73,106,Unhealthy for Sensitive Groups
38.95,182.25,346.52,114.03,11.26,76.12,131,Unhealthy for Sensitive Groups
172.35,412.45,999.1,385.16,24.9,112.36,224,Very Unhealthy
215.08,395.27,825.73,497.78,24.37,152.36,294,Very Unhealthy
63.3,327.11,362.12,221.67,14.43,92.01,151,Unhealthy
11.91,23.65,31.12,5.7,1.76,19.87,23,Good
26.67,106.31,61.32,48.71,4.6,62.83,71,Moderate
257.67,452.01,1571.51,828.74,33.17,394.74,450,Hazardous
242.04,373.34,824.71,552.47,17.58,167.77,252,Very Unhealthy
490.29,560.81,1316.87,616.93,33.54,206.46,439,Hazardous
90.35,304.93,619.12,253.52,14.42,103.28,183,Unhealthy
17.24,82.79,88.21,42.25,7.92,60.07,95,Moderate
408.86,541.97,2032.82,762.31,44.26,492.55,397,Hazardous
172.19,384.44,764.27,484.68,18.54,175.08,204,Very Unhealthy
22.66,103.79,98.7,38.13,5.78,62.51,92,Moderate
49.13,178.46,302.0,107.16,9.86,82.14,134,Unhealthy for Sensitive Groups
34.44,95.18,57.47,66.31,8.78,69.35,55,Moderate
2.73,39.91,12.76,25.68,3.95,9.57,24,Good
20.32,93.52,87.66,53.26,8.89,68.5,56,Moderate
184.03,390.74,1053.33,352.25,20.89,112.69,288,Very Unhealthy
12.13,142.28,86.46,54.09,5.8,61.05,85,Moderate
8.98,39.4,18.05,29.94,0.82,11.25,28,Good
312.33,427.71,1459.76,694.26,39.79,478.75,433,Hazardous
11.65,35.79,0.29,34.49,1.3,53.56,5,Good
17.2,76.47,63.53,74.12,8.95,64.09,97,Moderate
102.31,312.95,482.22,248.63,14.67,92.55,181,Unhealthy
213.31,357.88,1119.98,553.0,23.93,163.6,268,Very Unhealthy
17.44,129.46,54.51,46.39,5.88,69.97,69,Moderate
44.93,199.12,116.76,87.33,11.07,84.51,120,Unhealthy for Sensitive Groups
49.48,231.67,255.62,87.77,11.06,78.16,121,Unhealthy for Sensitive Groups
186.09,389.7,904.98,371.95,25.46,111.42,231,Very Unhealthy
17.92,96.51,83.0,41.22,9.08,62.29,85,Moderate
105.49,290.95,642.12,247.12,14.71,103.94,152,Unhealthy
4.57,5.35,16.76,11.39,0.44,13.92,31,Good
48.48,178.79,338.17,149.57,11.27,83.99,141,Unhealthy for Sensitive Groups
0.37,6.24,7.87,10.37,0.44,1.25,1,Good
87.87,295.97,456.66,245.93,14.72,86.66,161,Unhealthy
34.05,114.63,64.58,59.75,7.03,55.71,76,Moderate
212.12,389.43,943.24,410.02,28.59,115.43,248,Very Unhealthy
45.42,222.38,356.19,93.07,9.63,79.25,104,Unhealthy for Sensitive Groups
6.65,30.91,48.08,16.8,0.71,8.29,9,Good
3.38,21.26,16.15,13.73,3.91,17.4,21,Good
103.53,326.58,389.41,239.64,13.22,91.86,196,Unhealthy
49.59,177.26,219.86,113.01,11.44,75.9,128,Unhealthy for Sensitive Groups
8.96,6.4,10.15,27.97,1.51,7.41,49,Good
33.79,110.82,89.4,73.78,5.69,59.9,80,Moderate
16.32,132.22,94.63,54.0,5.97,68.02,96,Moderate
48.43,248.14,217.94,121.32,11.64,84.33,131,Unhealthy for Sensitive Groups
8.63,37.03,39.36,3.57,0.61,42.7,26,Good
461.84,587.43,1734.58,798.39,50.22,241.4,422,Hazardous
39.99,207.34,284.9,135.07,12.36,84.89,119,Unhealthy for Sensitive Groups
172.78,393.43,936.58,508.55,19.72,183.43,268,Very Unhealthy
36.5,236.19,106.98,151.85,10.38,75.55,132,Unhealthy for Sensitive Groups
3.96,43.44,50.8,8.61,0.71,27.04,23,Good
9.1,20.49,16.64,19.68,0.32,7.45,35,Good
44.44,178.95,288.13,153.09,10.63,75.84,135,Unhealthy for Sensitive Groups
85.74,292.3,530.48,293.53,13.01,91.43,157,Unhealthy
6.82,5.69,24.3,10.46,3.86,10.94,47,Good
241.94,369.92,833.28,587.18,22.74,191.92,230,Very Unhealthy
411.5,513.56,1372.61,740.44,31.49,358.58,448,Hazardous
15.88,140.74,92.14,55.18,8.75,60.08,51,Moderate
16.33,101.72,59.23,53.9,6.04,60.5,52,Moderate
4.65,32.57,51.95,0.16,1.74,10.68,39,Good
16.64,134.27,88.7,48.45,6.13,63.78,78,Moderate
2.15,24.53,14.74,12.13,1.93,10.38,8,Good
413.01,514.38,1835.56,755.45,44.18,431.47,418,Hazardous
221.46,412.57,765.4,549.43,17.64,163.91,242,Very Unhealthy
84.77,264.41,365.27,277.32,13.42,92.06,161,Unhealthy
12.92,144.86,57.23,41.14,6.53,68.3,82,Moderate
52.26,178.54,216.32,107.99,10.49,73.47,132,Unhealthy for Sensitive Groups
74.22,269.26,372.16,230.13,12.97,92.4,151,Unhealthy
16.36,77.53,84.71,39.64,6.02,67.09,56,Moderate
13.13,63.78,79.79,66.5,4.7,57.41,51,Moderate
449.48,452.15,1558.36,817.36,41.03,337.28,459,Hazardous
0.26,5.13,22.99,29.44,1.49,48.22,6,Good
0.5,45.82,6.34,3.61,0.73,22.87,3,Good
196.56,365.28,796.06,327.18,23.46,107.45,218,Very Unhealthy
2.4,35.2,2.24,14.05,0.79,36.06,42,Good
33.82,67.5,88.54,68.71,7.34,66.85,85,Moderate
294.1,486.09,1535.19,747.67,43.53,466.34,354,Hazardous
11.25,43.25,44.47,30.2,0.79,44.93,48,Good
47.29,216.15,104.23,180.56,10.72,76.04,104,Unhealthy for Sensitive Groups
27.24,126.18,55.58,44.54,8.05,62.48,98,Moderate
108.21,294.66,612.22,205.19,14.07,88.7,176,Unhealthy
28.21,74.8,96.61,61.05,6.18,56.86,91,Moderate
7.58,21.47,48.26,1.43,1.2,24.28,21,Good
213.1,419.32,1076.49,375.4,27.99,145.53,251,Very Unhealthy
231.49,389.91,918.24,589.55,30.12,171.43,211,Very Unhealthy
175.09,357.61,892.02,360.68,20.6,160.9,262,Very Unhealthy
39.65,227.1,128.8,81.88,10.16,74.45,109,Unhealthy for Sensitive Groups
45.59,162.59,114.77,172.14,11.18,81.15,132,Unhealthy for Sensitive Groups
75.69,293.29,412.52,218.8,12.65,88.99,159,Unhealthy
2.72,0.96,39.49,27.08,1.84,23.76,43,Good
0.54,7.98,26.75,29.87,2.68,40.51,16,Good
25.97,93.21,82.87,72.03,9.05,56.0,69,Moderate
248.06,397.01,1131.42,347.96,18.04,177.31,250,Very Unhealthy
70.03,340.52,595.68,186.66,12.51,97.22,188,Unhealthy
186.35,355.79,965.99,407.14,30.38,134.54,267,Very Unhealthy
166.06,387.44,876.03,432.08,26.15,190.19,252,Very Unhealthy
1.3,25.16,2.37,23.91,4.14,28.83,50,Good
18.94,109.7,85.24,62.72,7.32,55.67,63,Moderate
121.96,308.72,390.58,263.06,14.25,88.4,158,Unhealthy
54.82,172.33,257.07,123.51,10.32,79.83,149,Unhealthy for Sensitive Groups
142.84,337.59,427.71,197.76,12.52,104.15,163,Unhealthy
0.77,6.68,41.17,12.13,2.36,45.68,13,Good
1.73,28.77,52.76,2.29,3.75,37.05,48,Good
22.5,134.99,77.85,35.55,6.48,66.48,81,Moderate
12.55,130.32,80.19,73.83,8.68,66.93,96,Moderate
144.96,326.79,494.43,229.7,14.57,94.13,190,Unhealthy
316.04,445.69,1578.27,703.07,44.24,362.89,499,Hazardous
11.24,34.4,49.16,7.57,2.74,24.23,3,Good
10.28,17.68,9.17,6.48,4.19,3.76,41,Good
104.28,282.13,556.23,241.56,13.69,101.41,173,Unhealthy
132.23,283.3,414.93,298.31,13.63,102.76,166,Unhealthy
10.69,29.86,26.44,8.9,4.35,40.58,19,Good
13.45,68.01,82.31,52.86,9.09,66.88,78,Moderate
235.99,397.05,681.57,411.34,28.66,116.64,209,Very Unhealthy
143.33,340.0,434.73,223.93,14.43,103.52,176,Unhealthy
140.73,283.51,377.03,189.82,15.1,94.49,195,Unhealthy
61.82,256.04,405.16,252.52,14.71,100.17,164,Unhealthy
261.48,455.29,1342.32,777.5,35.4,242.35,499,Hazardous
54.82,239.44,275.07,86.2,9.92,82.23,136,Unhealthy for Sensitive Groups
316.88,602.94,1512.35,744.83,45.33,382.54,367,Hazardous
9.66,46.86,37.62,30.03,3.91,17.63,45,Good
313.11,479.6,1958.44,976.6,35.31,344.03,434,Hazardous
7.91,43.16,25.98,32.56,2.28,0.03,44,Good
196.51,384.76,995.4,589.19,30.13,167.15,216,Very Unhealthy
6.18,14.61,44.76,19.92,0.13,39.84,47,Good
6.66,7.08,7.58,26.25,3.87,36.62,31,Good
39.95,168.92,166.35,178.06,11.52,81.62,111,Unhealthy for Sensitive Groups
8.19,20.21,2.89,23.71,0.66,46.47,39,Good
252.33,584.79,1540.51,690.39,37.97,360.93,478,Hazardous
491.62,443.48,1302.08,939.92,44.79,242.41,460,Hazardous
39.53,169.5,264.44,82.04,11.67,82.65,122,Unhealthy for Sensitive Groups
284.59,526.45,1924.78,827.52,40.83,201.73,481,Hazardous
51.01,170.19,157.71,148.11,10.73,81.33,118,Unhealthy for Sensitive Groups
34.85,80.81,60.22,44.67,5.11,55.13,72,Moderate
63.34,307.65,606.7,303.04,13.74,90.07,178,Unhealthy
226.69,387.18,1084.58,528.25,28.86,177.41,248,Very Unhealthy
32.21,71.52,55.59,36.84,6.33,69.79,56,Moderate
5.6,1.34,12.64,27.78,2.62,51.17,8,Good
366.22,434.97,1592.7,662.87,44.85,259.99,353,Hazardous
39.19,181.05,101.3,106.34,10.37,74.03,135,Unhealthy for Sensitive Groups
256.83,445.39,1407.21,803.33,40.39,263.93,310,Hazardous
27.02,145.74,83.03,51.95,7.21,58.33,68,Moderate
15.69,81.34,71.63,52.57,4.53,62.47,62,Moderate
5.71,42.38,26.74,24.96,4.33,22.04,34,Good
398.65,434.56,1859.14,666.16,40.52,248.72,474,Hazardous
23.95,132.08,95.59,50.6,8.75,60.52,61,Moderate
44.35,157.62,216.6,90.42,12.3,79.06,115,Unhealthy for Sensitive Groups
444.29,572.19,1354.45,882.25,44.53,262.48,447,Hazardous
191.2,356.93,1102.88,497.8,17.32,188.87,250,Very Unhealthy
106.15,312.09,363.53,247.83,14.5,103.56,154,Unhealthy
187.04,396.1,845.73,313.38,25.33,183.67,270,Very Unhealthy
1.84,0.66,0.39,1.04,4.06,47.13,15,Good
241.4,422.36,1087.84,484.3,26.68,134.08,273,Very Unhealthy
160.31,412.99,1014.07,350.66,24.61,141.79,283,Very Unhealthy
51.25,253.71,297.82,184.93,11.33,80.58,114,Unhealthy for Sensitive Groups
323.23,594.78,1249.33,778.54,42.41,410.34,495,Hazardous
173.67,385.54,1174.49,522.81,28.59,144.97,261,Very Unhealthy
37.7,241.51,231.88,179.97,9.62,84.47,113,Unhealthy for Sensitive Groups
467.2,557.89,1939.52,682.2,40.17,467.04,301,Hazardous
2.76,6.32,44.71,1.66,0.58,44.45,34,Good
388.61,544.25,1895.55,605.58,40.04,354.91,353,Hazardous
1.68,30.51,9.59,8.49,1.08,5.19,11,Good
171.61,388.16,731.58,380.69,20.0,121.5,242,Very Unhealthy
454.03,603.4,1761.14,920.68,39.44,447.28,389,Hazardous
164.97,354.52,1043.74,533.75,15.79,145.6,255,Very Unhealthy
2.43,22.51,44.63,23.61,3.86,22.83,43,Good
20.58,89.77,69.37,49.09,6.1,58.13,63,Moderate
149.09,324.93,647.35,220.27,14.33,88.49,164,Unhealthy
11.63,27.77,26.69,30.6,2.12,45.32,5,Good
54.19,221.91,293.01,164.31,10.43,74.89,129,Unhealthy for Sensitive Groups
53.04,246.33,161.01,111.37,11.95,84.5,140,Unhealthy for Sensitive Groups
205.44,396.64,678.1,347.92,17.32,163.12,237,Very Unhealthy
48.74,160.07,289.02,135.39,10.57,84.44,136,Unhealthy for Sensitive Groups
207.22,373.23,660.83,582.49,20.84,125.07,276,Very Unhealthy
104.58,342.7,593.2,258.02,12.89,91.08,195,Unhealthy
7.53,51.24,43.84,33.44,2.43,47.78,50,Good
7.98,13.38,9.18,8.32,4.02,7.49,23,Good
10.75,9.25,7.99,11.29,1.09,47.47,16,Good
50.07,213.59,293.88,146.43,12.12,74.08,111,Unhealthy for Sensitive Groups
444.29,491.73,1548.64,770.24,46.32,430.97,499,Hazardous
27.39,99.97,72.38,37.87,9.36,61.47,92,Moderate
65.07,345.53,636.34,289.13,12.47,89.18,190,Unhealthy
153.12,357.76,1199.17,348.33,18.31,115.24,285,Very Unhealthy
219.5,367.31,967.29,503.76,17.55,172.87,287,Very Unhealthy
1.54,6.58,5.64,25.63,2.23,39.21,23,Good
228.76,383.17,892.57,539.02,23.18,122.29,257,Very Unhealthy
1.56,25.24,6.62,23.64,3.34,18.49,32,Good
51.28,235.5,268.6,104.8,9.4,75.33,115,Unhealthy for Sensitive Groups
146.11,319.88,403.3,273.85,14.45,94.44,171,Unhealthy
18.99,90.93,91.15,73.81,8.4,63.22,96,Moderate
19.15,135.45,85.6,61.03,5.33,68.39,75,Moderate
77.94,265.75,581.38,241.99,15.16,89.56,163,Unhealthy
50.99,219.08,274.72,78.99,9.82,84.46,102,Unhealthy for Sensitive Groups
142.68,271.48,404.16,204.71,14.95,91.34,185,Unhealthy
115.84,323.94,379.54,279.06,13.38,103.41,180,Unhealthy
200.65,379.65,673.02,542.84,22.01,139.69,289,Very Unhealthy
26.23,142.98,62.95,57.87,6.36,62.16,81,Moderate
103.57,350.68,562.09,213.89,14.17,99.04,199,Unhealthy
33.06,71.55,66.62,48.4,6.96,57.84,66,Moderate
40.42,156.83,172.44,91.11,10.3,79.44,140,Unhealthy for Sensitive Groups
9.92,33.27,24.87,9.11,2.34,7.77,33,Good
244.12,364.14,1195.59,574.06,20.31,118.22,290,Very Unhealthy
61.94,264.1,586.29,208.92,12.55,94.96,168,Unhealthy
169.7,399.42,856.02,320.56,24.81,150.18,247,Very Unhealthy
39.51,169.36,100.21,78.62,11.99,72.19,133,Unhealthy for Sensitive Groups
203.18,419.77,799.55,337.21,26.06,191.62,265,Very Unhealthy
40.1,164.83,242.17,84.92,10.03,79.61,103,Unhealthy for Sensitive Groups
6.25,13.68,4.24,15.1,3.75,43.28,29,Good
3.98,51.09,20.81,11.66,3.13,40.44,40,Good
76.06,350.2,598.21,292.77,13.05,98.24,191,Unhealthy
305.87,521.06,1275.45,815.13,35.77,465.21,472,Hazardous
133.05,303.32,594.55,248.5,13.06,99.01,182,Unhealthy
92.62,305.86,440.63,204.45,14.51,92.58,196,Unhealthy
26.4,144.76,72.38,40.87,6.34,63.74,69,Moderate
39.92,164.43,329.53,127.48,10.26,80.51,132,Unhealthy for Sensitive Groups
21.0,128.71,56.38,50.76,5.67,65.89,88,Moderate
4.48,38.76,9.41,28.46,1.5,21.52,18,Good
4.99,28.91,31.84,33.59,2.39,9.52,20,Good
231.19,418.17,755.67,582.35,28.16,191.19,269,Very Unhealthy
106.97,293.51,489.71,242.85,14.67,96.91,174,Unhealthy
6.86,32.06,52.49,0.04,1.82,44.35,19,Good
323.06,564.91,1543.17,616.56,37.39,397.68,385,Hazardous
10.49,15.95,33.59,5.79,0.01,35.43,36,Good
132.89,334.01,418.52,273.26,13.36,88.96,191,Unhealthy
21.87,141.29,74.98,43.61,9.25,65.41,76,Moderate
13.38,94.29,85.38,37.85,4.69,55.16,99,Moderate
43.22,253.82,315.6,158.77,9.61,75.02,107,Unhealthy for Sensitive Groups
1.01,17.73,8.14,1.25,2.71,44.96,10,Good
3.79,25.89,21.12,21.12,2.06,9.52,33,Good
29.38,91.09,69.55,68.95,8.43,62.07,82,Moderate
51.46,191.17,147.92,114.07,9.42,82.26,141,Unhealthy for Sensitive Groups
21.77,78.09,87.97,43.05,4.87,67.94,89,Moderate
44.89,209.87,284.33,157.27,10.1,80.72,132,Unhealthy for Sensitive Groups
446.3,572.93,1707.16,928.55,38.19,400.55,372,Hazardous
172.5,370.85,1014.05,405.91,20.09,142.8,247,Very Unhealthy
395.35,522.29,1356.34,784.51,43.42,300.44,388,Hazardous
165.87,366.02,1039.48,384.29,29.34,178.59,221,Very Unhealthy
170.44,362.8,857.18,335.87,19.7,176.0,257,Very Unhealthy
7.05,15.56,16.48,18.06,3.23,53.57,29,Good
116.66,315.7,610.9,203.35,15.0,94.61,178,Unhealthy
44.13,160.13,163.66,175.83,10.97,78.02,114,Unhealthy for Sensitive Groups
171.67,357.88,692.91,549.72,24.27,176.19,234,Very Unhealthy
198.09,423.92,1233.53,324.82,19.16,127.39,210,Very Unhealthy
92.31,334.68,380.32,218.34,12.56,102.49,162,Unhealthy
433.61,479.87,1570.13,832.22,44.49,240.1,395,Hazardous
31.6,73.77,91.99,73.13,5.6,68.79,83,Moderate
72.64,330.48,599.33,275.48,12.49,90.65,186,Unhealthy
333.03,467.32,1945.02,864.95,47.17,309.78,445,Hazardous
218.04,376.55,651.57,580.37,22.16,178.26,270,Very Unhealthy
212.98,394.69,1198.26,513.01,28.02,141.06,274,Very Unhealthy
298.79,567.86,1358.18,883.42,30.96,413.72,443,Hazardous
74.7,256.91,423.12,255.27,14.6,98.54,194,Unhealthy
211.52,373.38,704.54,437.68,22.52,196.94,289,Very Unhealthy
234.55,367.87,1168.7,536.68,29.09,168.86,239,Very Unhealthy
34.57,104.29,58.98,49.21,8.84,66.59,94,Moderate
436.71,447.93,1798.52,830.02,47.7,403.85,482,Hazardous
47.86,210.78,343.8,82.87,10.23,81.28,131,Unhealthy for Sensitive Groups
15.21,55.58,56.48,68.96,6.53,61.28,51,Moderate
203.15,423.64,925.46,434.12,23.66,176.45,276,Very Unhealthy
50.2,197.3,340.31,136.93,9.96,71.42,139,Unhealthy for Sensitive Groups
51.39,251.45,121.73,158.19,11.55,75.19,126,Unhealthy for Sensitive Groups
3.67,12.56,2.95,28.51,3.97,33.46,49,Good
95.19,306.9,378.87,222.45,13.89,90.29,166,Unhealthy
24.34,109.02,88.24,66.07,9.35,67.4,69,Moderate
209.55,377.18,1106.44,592.16,23.95,169.93,255,Very Unhealthy
138.72,349.34,377.81,222.35,12.96,88.04,174,Unhealthy
68.77,333.82,498.29,206.46,15.03,96.32,192,Unhealthy
23.45,66.83,99.3,69.22,8.61,62.8,67,Moderate
311.94,506.08,1761.95,799.97,49.55,334.81,353,Hazardous
181.83,407.67,1170.91,591.98,17.74,199.7,231,Very Unhealthy
34.2,124.5,65.11,67.42,9.04,57.08,58,Moderate
162.06,365.8,919.71,497.38,16.92,145.34,214,Very Unhealthy
60.2,305.88,476.97,207.22,14.86,101.28,191,Unhealthy
24.5,111.12,75.21,36.28,9.05,62.91,74,Moderate
138.2,322.68,416.58,203.68,14.58,95.97,200,Unhealthy
52.73,158.5,176.16,113.69,11.38,80.18,103,Unhealthy for Sensitive Groups
212.95,357.28,673.69,366.32,24.62,155.54,297,Very Unhealthy
113.16,274.74,541.33,283.12,15.32,103.71,155,Unhealthy
33.75,93.92,64.77,40.24,4.69,59.1,57,Moderate
27.87,118.3,95.44,68.99,6.47,69.84,63,Moderate
100.65,281.98,571.03,217.3,13.22,92.0,177,Unhealthy
133.72,311.4,411.0,208.23,14.44,88.52,198,Unhealthy
103.47,326.93,571.64,211.78,14.36,100.44,162,Unhealthy
24.3,94.17,65.25,69.07,8.59,57.26,51,Moderate
22.04,126.84,65.65,74.06,7.18,57.15,61,Moderate
26.67,65.78,68.68,61.99,5.42,67.24,90,Moderate
19.61,124.82,76.29,43.98,6.29,58.94,94,Moderate
449.46,452.16,1917.13,678.4,33.64,359.96,459,Hazardous
168.79,374.33,987.9,583.05,15.42,189.85,278,Very Unhealthy
42.97,156.03,312.1,145.58,11.06,75.15,136,Unhealthy for Sensitive Groups
24.36,133.61,83.15,56.88,7.53,61.06,92,Moderate
44.37,218.88,275.76,80.21,11.1,73.14,119,Unhealthy for Sensitive Groups
63.86,271.81,549.38,254.26,13.5,99.84,178,Unhealthy
348.44,475.22,1401.42,871.48,37.14,296.2,333,Hazardous
428.12,452.85,1303.94,752.6,45.4,289.29,309,Hazardous
455.19,539.39,1279.58,642.81,48.8,352.46,399,Hazardous
95.9,272.1,557.83,236.4,13.14,91.2,179,Unhealthy
241.07,374.98,1223.56,411.19,25.87,131.9,225,Very Unhealthy
221.67,378.5,764.78,368.92,29.72,176.92,261,Very Unhealthy
138.76,286.32,436.11,237.25,13.22,98.7,184,Unhealthy
157.08,375.48,1174.15,450.83,15.68,112.05,212,Very Unhealthy
52.39,169.7,118.26,136.67,10.89,74.66,108,Unhealthy for Sensitive Groups
405.88,577.75,1352.4,719.96,47.37,264.25,350,Hazardous
45.28,225.0,194.82,175.69,10.17,72.1,147,Unhealthy for Sensitive Groups
188.97,374.6,710.42,347.6,22.06,163.83,291,Very Unhealthy
1.08,22.48,22.18,12.02,1.66,40.23,18,Good
23.08,90.08,54.28,51.56,8.23,65.92,70,Moderate
87.27,297.51,514.05,251.01,13.39,102.51,188,Unhealthy
9.22,32.38,26.14,16.13,2.33,41.83,30,Good
38.36,160.0,149.51,141.47,10.92,82.48,145,Unhealthy for Sensitive Groups
2.27,43.44,10.69,3.82,2.49,34.94,28,Good
36.86,252.66,178.87,112.42,12.07,73.96,108,Unhealthy for Sensitive Groups
3.49,41.18,17.94,8.46,1.11,21.3,40,Good
61.55,344.74,604.55,240.73,13.15,88.54,199,Unhealthy
179.13,405.34,886.64,546.93,18.8,144.85,211,Very Unhealthy
181.07,369.37,1240.7,501.41,20.27,170.0,253,Very Unhealthy
181.7,384.22,1144.14,539.63,22.92,112.44,218,Very Unhealthy
256.89,526.95,2026.97,621.66,33.03,383.14,453,Hazardous
106.88,302.43,497.0,213.74,13.21,97.12,165,Unhealthy
7.56,48.74,29.1,18.53,3.88,22.14,10,Good
41.32,213.22,285.88,140.61,9.95,74.48,146,Unhealthy for Sensitive Groups
14.33,136.06,64.55,43.94,8.88,57.55,68,Moderate
